region,65-69세,70-74세,75-79세,80-84세,85세이상,digital_education,population_total,population_elderly,education_institutions,education_programs,education_students,latitude,longitude
강원특별자치도,24488.0,17181.0,16050.0,15225.0,11836.0,20358.0,1510181.0,396516.0,108.0,4815.0,84524.0,37.73798719111111,128.33773456666665
경기도,120837.0,83067.0,69006.0,58256.0,42128.0,53180.0,13715016.0,2366589.0,971.0,47734.0,2658852.0,37.48435829,127.05454996571427
경상,,,,,,,,,,,,35.78614231428571,128.63360801836734
경상남도,44155.0,33601.0,29426.0,28570.0,22468.0,39353.0,3214016.0,727938.0,158.0,10118.0,273216.0,,
경상북도,37942.0,32011.0,27541.0,30996.0,25181.0,49718.0,2516753.0,675978.0,155.0,5671.0,185399.0,,
광주광역시,14925.0,11321.0,9799.0,8625.0,6058.0,17932.0,1398538.0,255232.0,117.0,4893.0,406451.0,,
광주시,,,,,,,,,,,,35.150596762,126.88198048
대구광역시,28814.0,23476.0,17996.0,17125.0,11776.0,30397.0,2357040.0,508177.0,150.0,11078.0,280956.0,,
대구시,,,,,,,,,,,,35.850558847,128.57441091
대전광역시,16091.0,11505.0,9170.0,8066.0,6028.0,11764.0,1440682.0,268962.0,102.0,5111.0,138866.0,,
대전시,,,,,,,,,,,,36.342236572000004,127.40657719999999
부산광역시,48702.0,38673.0,31046.0,26224.0,16013.0,71665.0,3251625.0,803008.0,233.0,12325.0,576441.0,,
부산시,,,,,,,,,,,,35.158253845625,129.06522159375
서울특별시,94163.0,71418.0,59669.0,49167.0,34782.0,37966.0,9323492.0,1866826.0,1856.0,140677.0,18791062.0,37.5505684452,126.99087966799999
세종특별자치시,2392.0,1651.0,1273.0,1155.0,966.0,10615.0,392154.0,46968.0,16.0,2530.0,41692.0,,
울산광역시,12043.0,8632.0,6334.0,4954.0,2969.0,20768.0,1093317.0,196921.0,42.0,5206.0,90638.0,,
울산시,,,,,,,,,,,,35.54478784,129.33668066
인천광역시,31145.0,21167.0,17681.0,14729.0,10906.0,21736.0,3041215.0,558240.0,152.0,6943.0,217712.0,,
인천시,,,,,,,,,,,,37.507328186,126.6598287
전라,,,,,,,,,,,,35.26858688648649,126.9888676027027
전라남도,24683.0,22264.0,23262.0,26103.0,21121.0,45302.0,1782183.0,497966.0,108.0,3784.0,110837.0,,
전북특별자치도,23513.0,19745.0,19399.0,20131.0,16923.0,36719.0,1729337.0,450432.0,120.0,5780.0,162215.0,,
제주특별자치도,7110.0,4570.0,4012.0,3491.0,3490.0,19147.0,666226.0,130604.0,30.0,2084.0,32388.0,33.374330555,126.52288195
충청,,,,,,,,,,,,36.548331720769234,127.26797310897436
충청남도,25590.0,20083.0,18145.0,18766.0,17329.0,32066.0,2136299.0,490744.0,137.0,7845.0,256295.0,,
충청북도,21494.0,15010.0,13487.0,13898.0,11121.0,26974.0,1591815.0,359580.0,86.0,4826.0,89738.0,,
