연도,시도,65-69세,70-74세,75-79세,80-84세,85세이상
2022,서울 Seoul,88603,69505,57712,45157,30904
2022,부산 Busan,46276,37456,29862,23921,14433
2022,대구 Daegu,27586,22314,17546,15726,10597
2022,인천 Incheon,28165,20192,16766,13504,9779
2022,광주 Gwangju,13603,11203,9508,8004,5428
2022,대전 Daejeon,14870,11012,8847,7479,5384
2022,울산 Ulsan,11156,8111,5909,4405,2703
2022,세종 Sejong,2140,1512,1207,1059,871
2022,경기 Gyeonggi,108953,78302,65344,53678,37515
2022,강원 Gangwon,22311,16371,15769,14517,10519
2022,충북 Chungbuk,19626,14255,13323,13072,10043
2022,충남 Chungnam,23503,19625,17759,17977,15804
2022,전북 Jeonbuk,21827,19897,19122,19183,15577
2022,전남 Jeonnam,22949,22493,23555,24850,19456
2022,경북 Gyeongbuk,36257,30793,27528,29021,23196
2022,경남 Gyongnam,41123,32549,28283,26902,20717
2022,제주 Jeju,6500,4477,3822,3342,3170
2023,서울 Seoul,94163,71418,59669,49167,34782
2023,부산 Busan,48702,38673,31046,26224,16013
2023,대구 Daegu,28814,23476,17996,17125,11776
2023,인천 Incheon,31145,21167,17681,14729,10906
2023,광주 Gwangju,14925,11321,9799,8625,6058
2023,대전 Daejeon,16091,11505,9170,8066,6028
2023,울산 Ulsan,12043,8632,6334,4954,2969
2023,세종 Sejong,2392,1651,1273,1155,966
2023,경기 Gyeonggi,120837,83067,69006,58256,42128
2023,강원 Gangwon,24488,17181,16050,15225,11836
2023,충북 Chungbuk,21494,15010,13487,13898,11121
2023,충남 Chungnam,25590,20083,18145,18766,17329
2023,전북 Jeonbuk,23513,19745,19399,20131,16923
2023,전남 Jeonnam,24683,22264,23262,26103,21121
2023,경북 Gyeongbuk,37942,32011,27541,30996,25181
2023,경남 Gyongnam,44155,33601,29426,28570,22468
2023,제주 Jeju,7110,4570,4012,3491,3490
