name,name_eng,정보통신망 침해범죄,불법컨텐츠범죄,정보통신망이용범죄,총 건수,건수/인구수
서울특별시,Seoul,38117,10576,26502,75195,0.806327432
부산광역시,Busan,18622,2686,15775,37083,1.140022688
대구광역시,Daegu,10679,1329,9287,21295,0.903459067
인천광역시,Incheon,16435,2617,13638,32690,1.075523532
광주광역시,Gwangju,5285,895,4351,10531,0.752707847
대전광역시,Daejeon,6670,996,5552,13218,0.918067128
울산광역시,Ulsan,4607,709,3874,9190,0.840293874
세종특별자치시,Sejongsi,746,202,526,1474,0.37580662
경기도,Gyeonggi-do,56939,11405,44024,112368,0.819522202
강원도,Gangwon-do,5079,876,4130,10085,0.667608888
충청북도,Chungcheongbuk-do,6519,858,5565,12942,0.813427653
충청남도,Chungcheongnam-do,7294,1235,5958,14487,0.678265266
전라북도,Jeollabuk-do,7123,839,6221,14183,0.819704345
전라남도,Jeollanam-do,6291,864,5363,12518,0.701884626
경상북도,Gyeongsangbuk-do,10760,1208,9457,21425,0.850375912
경상남도,Gyeongsangnam-do,14141,1513,12478,28132,0.874722685
제주특별자치도,Jeju-do,2440,456,1965,4861,0.729195575
